"1","2011年01月01日","晴 /晴","18℃ / 7℃","东北风 3-4级 /东北风 3-4级"
"2","2011年01月02日","晴 /多云","18℃ / 9℃","东北风 3-4级 /东北风 3-4级"
"3","2011年01月03日","多云 /阴","17℃ / 10℃","东北风 3-4级 /东北风 3-4级"
"4","2011年01月04日","阴 /阴","16℃ / 10℃","东北风 3-4级 /东北风 3-4级"
"5","2011年01月05日","阴 /多云","18℃ / 12℃","东北风 3-4级 /东北风 3-4级"
"6","2011年01月06日","阴 /多云","16℃ / 9℃","东北风 4-5级 /东北风 4-5级"
"7","2011年01月07日","多云 /多云","16℃ / 8℃","东北风 4-5级 /东北风 4-5级"
"8","2011年01月08日","多云 /多云","16℃ / 10℃","东北风 3-4级 /东北风 3-4级"
"9","2011年01月09日","多云 /阴","17℃ / 9℃","东北风 3-4级 /东北风 4-5级"
"10","2011年01月10日","阴 /小雨","15℃ / 8℃","东北风 4-5级 /东北风 4-5级"
"11","2011年01月11日","小雨 /小雨","13℃ / 8℃","北风 3-4级 /东北风 3-4级"
"12","2011年01月12日","阴 /阴","13℃ / 8℃","东北风 4-5级 /东北风 4-5级"
"13","2011年01月13日","阴 /多云","16℃ / 12℃","东北风 3-4级 /东北风 3-4级"
"14","2011年01月14日","多云 /多云","19℃ / 11℃","东风 ≤3级 /北风 3-4级"
"15","2011年01月15日","多云 /多云","15℃ / 7℃","北风 4-5级 /北风 4-5级"
"16","2011年01月16日","多云 /晴","14℃ / 6℃","东北风 4-5级 /北风 4-5级"
"17","2011年01月17日","晴 /晴","15℃ / 8℃","东北风 4-5级 /东北风 4-5级"
"18","2011年01月18日","多云 /阴","16℃ / 10℃","东北风 3-4级 /东北风 3-4级"
"19","2011年01月19日","多云 /多云","19℃ / 11℃","东北风 3-4级 /东北风 3-4级"
"20","2011年01月20日","多云 /阴","18℃ / 10℃","东北风 3-4级 /东北风 3-4级"
"21","2011年01月21日","多云 /多云","17℃ / 10℃","东北风 3-4级 /东北风 3-4级"
"22","2011年01月22日","多云 /多云","16℃ / 11℃","东北风 3-4级 /东北风 3-4级"
"23","2011年01月23日","多云 /晴","18℃ / 11℃","东北风 3-4级 /东北风 3-4级"
